timestamp,model,paper_set,n_papers,n_ok,n_parse_error,n_empty_tei,n_skipped,elapsed_sec
2026-05-28T05:32:20+00:00,llama3.1:8b,all,55,41,0,0,14,15767.0
2026-05-28T05:44:37+00:00,llama3.1:8b,all,55,0,0,0,55,0.1
